Repository Name,Date Of Event,Doc Class Name,Total Msgs,Total Size In MB,Exported Date
carlsbad.branch.h.sv.schwab,2023-06-03,MAILINGLIST,1,0.00,2023-07-03 20:00
executiveservices.sv.schwab,2023-06-03,MAILINGLIST,1,0.00,2023-07-03 20:00
fax.advice.schwab,2023-06-03,=EMAIL=,18,0.01,2023-07-03 20:00
fax.advice.schwab,2023-06-03,MAILINGLIST,39,0.02,2023-07-03 20:00
fax.branch.schwab,2023-06-03,=EMAIL=,693,0.32,2023-07-03 20:00
fax.branch.schwab,2023-06-03,MAILINGLIST,186,0.08,2023-07-03 20:00
misc.mailouts.schwab,2023-06-03,=EMAIL=,1283400,114262.34,2023-07-03 20:00
misc.mailouts.schwab,2023-06-03,MAILINGLIST,4187094,6190.42,2023-07-03 20:00
spsdenvertrading.sv.schwab,2023-06-03,MAILINGLIST,1,0.00,2023-07-03 20:00
